NumberOfPlayers,DeadAgentVoted,DeadAgentAttacked,TeammateAttacked,IncorrectAction,WerewolfWins,VillagerWins,TotalTurns,TotalDays,TotalGames,GameTimeSeconds
15,0,1,0,0,1,0,13,6,1,0.625981
15,0,1,0,3,1,0,11,5,1,0.210993
15,0,0,0,4,1,0,11,5,1,0.212989
15,0,0,0,0,1,0,11,5,1,0.225989
15,0,0,0,1,0,1,13,6,1,0.222989
15,0,0,0,1,1,0,11,5,1,0.183996
15,0,0,0,1,1,0,13,6,1,0.265984
15,0,0,0,4,0,1,11,5,1,0.224002
15,0,0,0,2,1,0,13,6,1,0.232987
15,0,0,0,2,0,1,7,3,1,0.150994
15,0,0,0,0,1,0,13,6,1,0.196993
15,0,0,0,2,0,1,13,6,1,0.250992
15,0,0,0,2,1,0,11,5,1,0.203993
15,0,0,0,5,1,0,13,6,1,0.222996
15,0,0,0,0,1,0,11,5,1,0.161995
15,0,0,0,3,1,0,11,5,1,0.211008
15,0,0,0,3,1,0,13,6,1,0.185983
15,0,1,0,4,1,0,13,6,1,0.221993
15,0,0,0,5,1,0,13,6,1,0.22999
15,0,0,0,4,1,0,11,5,1,0.175992
15,0,0,0,1,1,0,13,6,1,0.183992
15,0,0,0,1,0,1,11,5,1,0.165996
15,0,0,0,0,0,1,13,6,1,0.216991
15,0,0,0,3,1,0,12,6,1,0.224003
15,0,0,0,3,0,1,9,4,1,0.155005
15,0,0,0,4,1,0,11,5,1,0.213994
15,0,0,0,1,0,1,5,2,1,0.15899
15,0,0,0,3,1,0,11,5,1,0.232989
15,0,0,0,5,1,0,13,6,1,0.199989
15,0,0,0,0,1,0,13,6,1,0.172997
15,0,2,0,1,0,1,9,4,1,0.196995
15,0,0,0,0,1,0,11,5,1,0.181993
15,0,0,0,2,0,1,13,6,1,0.187991
15,0,0,0,4,1,0,11,5,1,0.271991
15,0,0,0,0,0,1,11,5,1,0.170992
15,0,1,0,4,1,0,13,6,1,0.189995
15,0,0,0,3,1,0,13,6,1,0.177995
15,0,0,0,3,1,0,11,5,1,0.18199
15,0,0,0,2,1,0,13,6,1,0.180995
15,0,0,0,1,1,0,13,6,1,0.17299
15,0,0,0,0,1,0,11,5,1,0.178993
15,0,0,0,4,1,0,11,5,1,0.180992
15,0,0,0,4,1,0,11,5,1,0.232994
15,0,0,0,2,1,0,12,6,1,0.20199
15,0,0,0,5,0,1,13,6,1,0.216989
15,0,0,0,1,1,0,13,6,1,0.191986
15,0,0,0,2,0,1,13,6,1,0.226992
15,0,0,0,2,1,0,11,5,1,0.187982
15,0,0,0,3,0,1,9,4,1,0.146994
15,0,0,0,0,0,1,3,1,1,0.085996
15,0,0,0,2,1,0,11,5,1,0.190994
15,0,1,0,1,0,1,7,3,1,0.158995
15,0,0,0,3,1,0,13,6,1,0.202999
15,0,0,0,1,1,0,13,6,1,0.213992
15,0,0,0,2,0,1,13,6,1,0.194993
15,0,0,0,5,1,0,13,6,1,0.202992
15,0,0,0,0,0,1,13,6,1,0.247995
15,0,0,0,2,1,0,13,6,1,0.308987
15,0,0,0,0,0,1,13,6,1,0.190996
15,0,0,0,5,1,0,13,6,1,0.206992
15,0,0,0,3,1,0,13,6,1,0.25299
15,0,1,0,1,1,0,11,5,1,0.215993
15,0,0,0,3,0,1,9,4,1,0.184992
15,0,0,0,2,1,0,13,6,1,0.207012
15,0,0,0,1,1,0,11,5,1,0.194992
15,0,0,0,5,1,0,13,6,1,0.265989
15,0,1,0,1,1,0,11,5,1,0.230992
15,0,0,0,0,0,1,11,5,1,0.181995
15,0,0,0,0,0,1,13,6,1,0.203993
15,0,0,0,1,0,1,9,4,1,0.194991
15,0,0,0,3,1,0,13,6,1,0.22699
15,0,0,0,3,0,1,11,5,1,0.264985
15,0,0,0,3,0,1,9,4,1,0.205009
15,0,0,0,2,1,0,13,6,1,0.241994
15,0,3,0,2,0,1,13,6,1,0.273989
15,0,0,0,0,0,1,5,2,1,0.143995
15,0,0,0,3,0,1,9,4,1,0.187992
15,0,0,0,1,1,0,11,5,1,0.194993
15,0,0,0,5,0,1,13,6,1,0.24299
15,0,0,0,4,0,1,13,6,1,0.207995
15,0,0,0,5,1,0,13,6,1,0.214991
15,0,1,0,1,1,0,11,5,1,0.21498
15,0,0,0,1,1,0,13,6,1,0.200991
15,0,0,0,2,1,0,13,6,1,0.19499
15,0,0,0,3,1,0,13,6,1,0.229997
15,0,0,0,0,0,1,11,5,1,0.175993
15,0,0,0,3,1,0,11,5,1,0.21199
15,0,0,0,2,1,0,11,5,1,0.221988
15,0,0,0,2,0,1,11,5,1,0.203984
15,0,0,0,0,1,0,13,6,1,0.209993
15,0,2,0,1,1,0,13,6,1,0.283989
15,0,0,0,1,0,1,5,2,1,0.144985
15,0,0,0,2,1,0,11,5,1,0.202991
15,0,0,0,0,1,0,11,5,1,0.21799
15,0,0,0,3,0,1,9,4,1,0.201977
15,0,0,0,4,1,0,13,6,1,0.239987
15,0,2,0,2,1,0,13,6,1,0.215991
15,0,0,0,0,1,0,13,6,1,0.183994
15,0,0,0,4,1,0,11,5,1,0.195992
15,0,0,0,2,0,1,7,3,1,0.134
15,0,0,0,0,1,0,13,6,1,0.161993
15,0,0,0,5,1,0,13,6,1,0.194992
15,0,0,0,2,0,1,9,4,1,0.138007
15,0,0,0,2,0,1,7,3,1,0.177988
15,0,0,0,3,0,1,9,4,1,0.167987
15,0,0,0,2,0,1,13,6,1,0.187985
15,0,1,0,2,1,0,13,6,1,0.208991
15,0,0,0,1,0,1,13,6,1,0.193985
15,0,0,0,2,1,0,11,5,1,0.159996
15,0,0,0,1,1,0,11,5,1,0.186005
15,0,0,0,3,1,0,13,6,1,0.230993
15,0,0,0,2,0,1,13,6,1,0.327991
15,0,0,0,4,0,1,11,5,1,0.271993
15,0,0,0,0,0,1,7,3,1,0.150992
15,0,0,0,3,0,1,13,6,1,0.20599
15,0,0,0,4,0,1,13,6,1,0.236991
15,0,1,0,0,1,0,11,5,1,0.195997
15,0,0,0,4,1,0,11,5,1,0.204987
15,0,0,0,2,0,1,13,6,1,0.217987
15,0,0,0,4,1,0,11,5,1,0.209988
15,0,0,0,2,1,0,12,6,1,0.23099
15,0,0,0,4,1,0,11,5,1,0.246988
15,0,0,0,0,0,1,11,5,1,0.311991
15,0,0,0,1,0,1,13,6,1,0.335985
15,0,0,0,0,1,0,11,5,1,0.226993
15,0,0,0,4,1,0,11,5,1,0.300992
15,0,0,0,5,1,0,13,6,1,0.338985
15,0,0,0,2,0,1,11,5,1,0.229
15,0,0,0,4,1,0,13,6,1,0.285992
15,0,0,0,1,1,0,11,5,1,0.296989
15,0,0,0,1,1,0,13,6,1,0.307991
15,0,0,0,3,1,0,11,5,1,0.298993
15,0,0,0,2,0,1,7,3,1,0.273989
15,0,0,0,2,1,0,11,5,1,0.297991
15,0,0,0,4,1,0,11,5,1,0.269998
15,0,0,0,4,1,0,11,5,1,0.258984
15,0,0,0,1,0,1,11,5,1,0.219994
15,0,0,0,1,1,0,11,5,1,0.218989
15,0,0,0,0,1,0,13,6,1,0.201986
15,0,0,0,0,0,1,7,3,1,0.137993
15,0,0,0,2,1,0,11,5,1,0.166991
15,0,0,0,3,1,0,11,5,1,0.279989
15,0,0,0,4,0,1,11,5,1,0.258983
15,0,0,0,0,0,1,13,6,1,0.212993
15,0,0,0,1,1,0,14,7,1,0.266992
15,0,0,0,5,1,0,13,6,1,0.311993
15,0,0,0,3,0,1,9,4,1,0.252988
15,0,0,0,0,1,0,11,5,1,0.309988
15,0,0,0,0,1,0,11,5,1,0.282987
15,0,0,0,4,0,1,11,5,1,0.345992
15,0,0,0,4,0,1,13,6,1,0.331986
15,0,0,0,3,1,0,11,5,1,0.343988
15,0,0,0,3,0,1,9,4,1,0.312988
15,0,0,0,3,1,0,11,5,1,0.361983
15,0,0,0,0,0,1,13,6,1,0.305991
15,0,0,0,2,1,0,13,6,1,0.398987
15,0,0,0,0,1,0,13,6,1,0.324986
15,0,0,0,4,0,1,11,5,1,0.33499
15,0,0,0,1,1,0,11,5,1,0.344984
15,0,0,0,1,0,1,5,2,1,0.212971
15,0,0,0,2,0,1,7,3,1,0.28599
15,0,0,0,1,1,0,11,5,1,0.320988
