NumberOfPlayers,DeadAgentVoted,DeadAgentAttacked,TeammateAttacked,IncorrectAction,WerewolfWins,VillagerWins,TotalTurns,TotalDays,TotalGames,GameTimeSeconds
5,0,0,0,0,0,1,3,1,1,0.372996
5,0,0,0,0,1,0,4,2,1,0.048999
5,0,0,0,0,0,1,3,1,1,0.046001
5,0,0,0,0,0,1,1,0,1,0.023997
5,0,0,0,0,0,1,3,1,1,0.035998
5,0,0,0,0,0,1,3,1,1,0.035001
5,0,0,0,1,1,0,4,2,1,0.041
5,0,0,0,0,0,1,3,1,1,0.035999
5,0,0,0,0,1,0,3,1,1,0.036011
5,0,0,0,0,0,1,3,1,1,0.035001
5,0,0,0,0,0,1,3,1,1,0.036001
5,0,0,0,0,1,0,3,1,1,0.036998
5,0,0,0,0,0,1,1,0,1,0.024011
5,0,0,0,0,1,0,3,1,1,0.047
5,0,0,0,0,0,1,3,1,1,0.035001
5,0,0,0,0,1,0,3,1,1,0.036999
5,0,0,0,0,1,0,3,1,1,0.037001
5,0,0,0,0,0,1,1,0,1,0.031
5,0,0,0,0,0,1,3,1,1,0.034998
5,0,0,0,0,1,0,3,1,1,0.034
5,0,0,0,0,0,1,3,1,1,0.032016
5,0,0,0,0,0,1,3,1,1,0.035997
5,0,0,0,0,1,0,3,1,1,0.034999
5,0,0,0,0,1,0,4,2,1,0.038999
5,0,0,0,0,1,0,3,1,1,0.038
5,0,0,0,0,0,1,1,0,1,0.022
5,0,0,0,0,0,1,1,0,1,0.022002
5,0,0,0,0,0,1,3,1,1,0.034997
5,0,0,0,0,1,0,3,1,1,0.046
5,0,0,0,0,0,1,1,0,1,0.029012
5,0,0,0,0,1,0,3,1,1,0.038
5,0,0,0,0,0,1,1,0,1,0.031001
5,0,0,0,0,0,1,3,1,1,0.042999
5,0,0,0,0,0,1,3,1,1,0.034
5,0,0,0,0,1,0,4,2,1,0.037
5,0,0,0,0,1,0,3,1,1,0.034999
5,0,0,0,0,0,1,3,1,1,0.035001
5,0,0,0,0,1,0,3,1,1,0.033999
5,0,0,0,0,1,0,4,2,1,0.040001
5,0,0,0,0,1,0,4,2,1,0.035999
5,0,0,0,0,1,0,3,1,1,0.043997
5,0,0,0,1,1,0,4,2,1,0.048001
5,0,0,0,0,0,1,1,0,1,0.026984
5,0,0,0,0,1,0,3,1,1,0.036
5,0,0,0,0,1,0,3,1,1,0.045002
5,0,0,0,0,1,0,3,1,1,0.038992
5,0,0,0,0,0,1,1,0,1,0.031
5,0,0,0,0,1,0,3,1,1,0.046002
5,0,0,0,0,0,1,3,1,1,0.045999
5,0,0,0,0,0,1,3,1,1,0.036001
5,0,0,0,1,1,0,4,2,1,0.040997
5,0,0,0,0,0,1,3,1,1,0.035999
5,0,0,0,0,0,1,3,1,1,0.04
5,0,0,0,0,1,0,3,1,1,0.044001
5,0,0,0,0,1,0,3,1,1,0.034
5,0,0,0,0,0,1,3,1,1,0.036
5,0,0,0,0,0,1,1,0,1,0.027999
5,0,0,0,0,1,0,4,2,1,0.042999
5,0,0,0,0,1,0,3,1,1,0.034002
5,0,0,0,0,1,0,3,1,1,0.036998
5,0,0,0,0,1,0,3,1,1,0.037998
5,0,0,0,0,0,1,3,1,1,0.04
5,0,0,0,0,1,0,3,1,1,0.039001
5,0,0,0,0,0,1,3,1,1,0.042003
5,0,0,0,0,0,1,1,0,1,0.026001
5,0,0,0,0,1,0,3,1,1,0.036998
5,0,0,0,0,0,1,1,0,1,0.031998
5,0,0,0,0,1,0,3,1,1,0.039
5,0,0,0,0,0,1,3,1,1,0.040996
5,0,0,0,0,0,1,1,0,1,0.023001
5,0,0,0,0,0,1,3,1,1,0.034998
5,0,0,0,0,1,0,3,1,1,0.035
5,0,0,0,0,0,1,3,1,1,0.030999
5,0,0,0,0,1,0,3,1,1,0.033001
5,0,0,0,0,1,0,3,1,1,0.034
5,0,0,0,0,1,0,3,1,1,0.034999
5,0,0,0,0,1,0,3,1,1,0.036002
5,0,0,0,0,0,1,1,0,1,0.030999
5,0,0,0,0,0,1,1,0,1,0.027985
5,0,0,0,0,0,1,1,0,1,0.027001
5,0,0,0,0,0,1,1,0,1,0.027999
5,0,0,0,1,1,0,4,2,1,0.043996
5,0,0,0,0,1,0,3,1,1,0.039992
5,0,0,0,0,0,1,3,1,1,0.036998
5,0,0,0,0,0,1,1,0,1,0.028988
5,0,0,0,0,1,0,3,1,1,0.036
5,0,0,0,0,0,1,1,0,1,0.026998
5,0,0,0,0,1,0,3,1,1,0.037
5,0,0,0,1,1,0,4,2,1,0.050999
5,0,0,0,0,0,1,3,1,1,0.033998
5,0,0,0,1,1,0,4,2,1,0.04
5,0,0,0,0,1,0,3,1,1,0.040006
5,0,0,0,0,1,0,3,1,1,0.035
5,0,0,0,0,1,0,4,2,1,0.038999
5,0,0,0,0,0,1,3,1,1,0.034997
5,0,0,0,0,1,0,3,1,1,0.038999
5,0,0,0,0,1,0,3,1,1,0.045998
5,0,0,0,0,0,1,3,1,1,0.04
5,0,0,0,0,0,1,3,1,1,0.035
5,0,0,0,0,0,1,1,0,1,0.032985
5,0,0,0,0,1,0,3,1,1,0.047013
5,0,0,0,0,1,0,3,1,1,0.040999
5,0,0,0,0,1,0,3,1,1,0.039998
5,0,0,0,0,0,1,3,1,1,0.035998
5,0,0,0,0,1,0,3,1,1,0.031999
5,0,0,0,0,0,1,1,0,1,0.033
5,0,0,0,0,0,1,3,1,1,0.041
5,0,0,0,0,1,0,3,1,1,0.037999
5,0,0,0,0,0,1,1,0,1,0.027004
5,0,0,0,0,1,0,3,1,1,0.038
5,0,0,0,0,1,0,3,1,1,0.036002
5,0,0,0,0,1,0,3,1,1,0.040002
5,0,0,0,0,0,1,3,1,1,0.038998
5,0,0,0,0,1,0,3,1,1,0.033
5,0,0,0,0,0,1,3,1,1,0.032998
5,0,0,0,0,1,0,3,1,1,0.039999
5,0,0,0,0,1,0,4,2,1,0.045987
5,0,0,0,0,1,0,3,1,1,0.033005
5,0,0,0,0,1,0,3,1,1,0.030999
5,0,0,0,0,0,1,1,0,1,0.023
5,0,0,0,0,1,0,3,1,1,0.033017
5,0,0,0,0,0,1,3,1,1,0.038001
5,0,0,0,0,0,1,1,0,1,0.024989
5,0,0,0,0,1,0,3,1,1,0.033999
5,0,0,0,0,1,0,3,1,1,0.04
5,0,0,0,0,0,1,1,0,1,0.023989
5,0,0,0,0,0,1,1,0,1,0.022998
5,0,0,0,0,1,0,3,1,1,0.032
5,0,0,0,0,1,0,3,1,1,0.034001
5,0,0,0,0,0,1,3,1,1,0.031
5,0,0,0,0,1,0,3,1,1,0.042002
5,0,0,0,0,0,1,3,1,1,0.035001
5,0,0,0,0,0,1,3,1,1,0.034008
5,0,0,0,0,0,1,1,0,1,0.025
5,0,0,0,0,1,0,3,1,1,0.041997
5,0,0,0,0,1,0,3,1,1,0.032001
5,0,0,0,0,0,1,1,0,1,0.025001
5,0,0,0,0,1,0,3,1,1,0.035001
5,0,0,0,0,1,0,3,1,1,0.031023
5,0,0,0,0,1,0,3,1,1,0.039024
5,0,0,0,0,0,1,3,1,1,0.03602
5,0,0,0,0,1,0,3,1,1,0.033069
5,0,0,0,1,1,0,4,2,1,0.042996
5,0,0,0,0,0,1,1,0,1,0.026996
5,0,0,0,0,0,1,3,1,1,0.038005
5,0,0,0,0,1,0,3,1,1,0.031976
5,0,0,0,0,0,1,1,0,1,0.025968
5,0,0,0,0,0,1,3,1,1,0.030991
5,0,0,0,0,1,0,3,1,1,0.034029
5,0,0,0,0,0,1,3,1,1,0.034001
5,0,0,0,0,0,1,1,0,1,0.021976
5,0,0,0,0,1,0,3,1,1,0.036995
5,0,0,0,1,1,0,4,2,1,0.041052
5,0,0,0,0,0,1,3,1,1,0.041968
5,0,0,0,0,1,0,3,1,1,0.039974
5,0,0,0,0,0,1,3,1,1,0.037999
5,0,0,0,0,0,1,3,1,1,0.033001
5,0,0,0,0,1,0,3,1,1,0.033998
5,0,0,0,0,0,1,3,1,1,0.031973
5,0,0,0,0,0,1,3,1,1,0.041008
5,0,0,0,0,1,0,3,1,1,0.033002
5,0,0,0,0,0,1,1,0,1,0.022933
5,0,0,0,0,0,1,1,0,1,0.028003
5,0,0,0,0,0,1,1,0,1,0.034
5,0,0,0,0,1,0,3,1,1,0.034973
5,0,0,0,0,1,0,3,1,1,0.034022
5,0,0,0,0,1,0,3,1,1,0.033004
5,0,0,0,0,1,0,3,1,1,0.033028
5,0,0,0,0,0,1,3,1,1,0.032997
5,0,0,0,0,0,1,3,1,1,0.034
5,0,0,0,0,0,1,3,1,1,0.047989
5,0,0,0,0,0,1,1,0,1,0.029
5,0,0,0,1,1,0,4,2,1,0.049999
5,0,0,0,0,0,1,3,1,1,0.036998
5,0,0,0,0,1,0,3,1,1,0.036999
5,0,0,0,0,0,1,3,1,1,0.038034
5,0,0,0,0,0,1,3,1,1,0.041999
5,0,0,0,0,1,0,3,1,1,0.037998
5,0,0,0,0,0,1,1,0,1,0.027
5,0,0,0,0,1,0,4,2,1,0.046984
5,0,0,0,0,1,0,3,1,1,0.035995
5,0,0,0,0,1,0,3,1,1,0.03403
5,0,0,0,0,1,0,4,2,1,0.039
5,0,0,0,0,0,1,3,1,1,0.033972
5,0,0,0,0,0,1,1,0,1,0.02397
5,0,0,0,0,0,1,1,0,1,0.024029
5,0,0,0,0,0,1,3,1,1,0.035031
5,0,0,0,0,1,0,3,1,1,0.085018
5,0,0,0,0,0,1,3,1,1,0.032968
5,0,0,0,0,1,0,3,1,1,0.033
5,0,0,0,0,0,1,3,1,1,0.034998
5,0,0,0,0,1,0,3,1,1,0.034971
5,0,0,0,0,0,1,3,1,1,0.032999
5,0,0,0,0,0,1,3,1,1,0.037994
5,0,0,0,0,0,1,1,0,1,0.030006
5,0,0,0,0,1,0,4,2,1,0.050999
5,0,0,0,0,1,0,3,1,1,0.054999
5,0,0,0,0,0,1,3,1,1,0.040998
5,0,0,0,0,0,1,3,1,1,0.034005
5,0,0,0,0,0,1,3,1,1,0.029996
5,0,0,0,0,0,1,3,1,1,0.030003
5,0,0,0,0,1,0,3,1,1,0.033026
5,0,0,0,0,0,1,1,0,1,0.031019
5,0,0,0,0,0,1,3,1,1,0.041998
5,0,0,0,0,0,1,3,1,1,0.036998
5,0,0,0,0,0,1,3,1,1,0.037001
5,0,0,0,0,0,1,3,1,1,0.032
5,0,0,0,0,0,1,1,0,1,0.025997
5,0,0,0,0,1,0,3,1,1,0.035999
5,0,0,0,0,0,1,1,0,1,0.026973
5,0,0,0,0,1,0,3,1,1,0.041999
5,0,0,0,0,1,0,3,1,1,0.044001
5,0,0,0,0,1,0,3,1,1,0.044001
5,0,0,0,0,1,0,3,1,1,0.034003
5,0,0,0,1,1,0,4,2,1,0.043998
5,0,0,0,0,0,1,3,1,1,0.032029
5,0,0,0,0,1,0,3,1,1,0.042003
5,0,0,0,0,1,0,3,1,1,0.030998
5,0,0,0,0,0,1,3,1,1,0.033015
5,0,0,0,0,0,1,1,0,1,0.026
5,0,0,0,0,0,1,3,1,1,0.037001
5,0,0,0,1,1,0,4,2,1,0.049003
5,0,0,0,0,1,0,3,1,1,0.039004
5,0,0,0,0,1,0,3,1,1,0.044994
5,0,0,0,0,0,1,1,0,1,0.025998
5,0,0,0,0,1,0,3,1,1,0.036001
5,0,0,0,0,1,0,3,1,1,0.032999
5,0,0,0,0,1,0,3,1,1,0.033001
5,0,0,0,0,0,1,1,0,1,0.024998
5,0,0,0,0,0,1,3,1,1,0.034002
5,0,0,0,0,1,0,3,1,1,0.036027
5,0,0,0,0,1,0,3,1,1,0.036007
5,0,0,0,0,0,1,1,0,1,0.031999
5,0,0,0,0,1,0,3,1,1,0.050001
5,0,0,0,0,0,1,3,1,1,0.041
5,0,0,0,0,0,1,3,1,1,0.040002
5,0,0,0,0,0,1,1,0,1,0.028997
5,0,0,0,0,1,0,3,1,1,0.034
5,0,0,0,0,0,1,1,0,1,0.026001
5,0,0,0,1,1,0,4,2,1,0.036995
5,0,0,0,0,1,0,3,1,1,0.034001
5,0,0,0,0,0,1,1,0,1,0.024002
5,0,0,0,0,0,1,3,1,1,0.041001
5,0,0,0,0,1,0,3,1,1,0.032998
5,0,0,0,0,1,0,3,1,1,0.031999
5,0,0,0,0,1,0,3,1,1,0.032005
5,0,0,0,0,0,1,3,1,1,0.03503
5,0,0,0,0,0,1,1,0,1,0.024993
5,0,0,0,0,0,1,3,1,1,0.033001
5,0,0,0,0,0,1,3,1,1,0.031
5,0,0,0,0,0,1,1,0,1,0.022965
5,0,0,0,0,1,0,3,1,1,0.037001
5,0,0,0,0,0,1,1,0,1,0.023999
5,0,0,0,0,0,1,3,1,1,0.036003
5,0,0,0,0,0,1,1,0,1,0.03103
5,0,0,0,0,0,1,1,0,1,0.025001
5,0,0,0,0,1,0,4,2,1,0.047031
5,0,0,0,0,0,1,3,1,1,0.045993
5,0,0,0,0,0,1,3,1,1,0.035008
5,0,0,0,0,0,1,3,1,1,0.056
5,0,0,0,0,1,0,3,1,1,0.038998
5,0,0,0,0,0,1,3,1,1,0.032
5,0,0,0,0,0,1,3,1,1,0.034985
5,0,0,0,0,1,0,3,1,1,0.035006
5,0,0,0,0,1,0,3,1,1,0.029999
5,0,0,0,0,1,0,3,1,1,0.031001
5,0,0,0,0,0,1,3,1,1,0.037
5,0,0,0,1,1,0,4,2,1,0.035003
5,0,0,0,0,1,0,3,1,1,0.033035
5,0,0,0,0,0,1,3,1,1,0.039976
5,0,0,0,0,1,0,3,1,1,0.036966
5,0,0,0,0,1,0,3,1,1,0.034004
5,0,0,0,0,0,1,1,0,1,0.023999
5,0,0,0,0,0,1,3,1,1,0.030998
5,0,0,0,0,1,0,3,1,1,0.032
5,0,0,0,0,0,1,3,1,1,0.033028
5,0,0,0,0,0,1,3,1,1,0.038999
5,0,0,0,0,0,1,3,1,1,0.037001
5,0,0,0,0,1,0,3,1,1,0.033
5,0,0,0,0,0,1,3,1,1,0.041973
5,0,0,0,0,1,0,3,1,1,0.034001
5,0,0,0,0,0,1,1,0,1,0.024029
5,0,0,0,0,0,1,1,0,1,0.021001
5,0,0,0,0,1,0,3,1,1,0.030002
5,0,0,0,0,1,0,3,1,1,0.035952
5,0,0,0,0,0,1,1,0,1,0.023
5,0,0,0,0,1,0,3,1,1,0.030969
5,0,0,0,0,0,1,3,1,1,0.034002
5,0,0,0,0,0,1,3,1,1,0.031014
5,0,0,0,0,1,0,4,2,1,0.045999
5,0,0,0,0,1,0,4,2,1,0.041008
5,0,0,0,0,0,1,3,1,1,0.035
5,0,0,0,0,1,0,3,1,1,0.033
5,0,0,0,0,0,1,3,1,1,0.032
5,0,0,0,0,0,1,3,1,1,0.034004
5,0,0,0,0,1,0,3,1,1,0.048974
5,0,0,0,0,1,0,3,1,1,0.033026
5,0,0,0,0,1,0,3,1,1,0.043997
5,0,0,0,0,0,1,3,1,1,0.035
5,0,0,0,0,1,0,3,1,1,0.033
5,0,0,0,1,1,0,4,2,1,0.040976
5,0,0,0,0,0,1,3,1,1,0.034965
5,0,0,0,0,0,1,1,0,1,0.021994
5,0,0,0,0,1,0,3,1,1,0.032
5,0,0,0,0,0,1,1,0,1,0.025
5,0,0,0,0,0,1,1,0,1,0.024999
5,0,0,0,0,0,1,3,1,1,0.036
5,0,0,0,0,1,0,3,1,1,0.035001
5,0,0,0,1,1,0,4,2,1,0.038002
5,0,0,0,0,1,0,3,1,1,0.034
5,0,0,0,0,0,1,3,1,1,0.031955
5,0,0,0,0,1,0,3,1,1,0.033998
5,0,0,0,0,1,0,3,1,1,0.031999
5,0,0,0,0,1,0,3,1,1,0.035001
5,0,0,0,0,0,1,1,0,1,0.027969
5,0,0,0,0,0,1,3,1,1,0.048
5,0,0,0,0,1,0,3,1,1,0.033999
5,0,0,0,0,0,1,3,1,1,0.034
5,0,0,0,0,0,1,3,1,1,0.033006
5,0,0,0,0,0,1,3,1,1,0.039998
5,0,0,0,0,0,1,3,1,1,0.029998
5,0,0,0,0,0,1,3,1,1,0.031
5,0,0,0,0,1,0,3,1,1,0.035017
5,0,0,0,0,0,1,3,1,1,0.031
5,0,0,0,0,1,0,3,1,1,0.034995
5,0,0,0,1,1,0,4,2,1,0.038999
5,0,0,0,0,0,1,3,1,1,0.032997
5,0,0,0,0,0,1,1,0,1,0.028
5,0,0,0,1,1,0,4,2,1,0.096023
5,0,0,0,0,1,0,3,1,1,0.042
5,0,0,0,0,0,1,3,1,1,0.047
5,0,0,0,0,0,1,3,1,1,0.037999
5,0,0,0,0,0,1,3,1,1,0.037002
5,0,0,0,0,0,1,3,1,1,0.035986
5,0,0,0,1,1,0,4,2,1,0.044029
5,0,0,0,0,0,1,3,1,1,0.03497
5,0,0,0,0,0,1,3,1,1,0.036988
5,0,0,0,0,0,1,3,1,1,0.089035
5,0,0,0,0,1,0,4,2,1,0.055
5,0,0,0,0,0,1,1,0,1,0.024
5,0,0,0,0,0,1,1,0,1,0.023035
5,0,0,0,0,1,0,3,1,1,0.032024
5,0,0,0,0,0,1,3,1,1,0.031998
5,0,0,0,0,1,0,3,1,1,0.032
5,0,0,0,0,0,1,3,1,1,0.045028
5,0,0,0,0,0,1,1,0,1,0.026897
5,0,0,0,0,0,1,3,1,1,0.037978
5,0,0,0,0,1,0,4,2,1,0.037029
5,0,0,0,0,0,1,3,1,1,0.030981
5,0,0,0,1,1,0,4,2,1,0.038998
5,0,0,0,0,1,0,3,1,1,0.033963
5,0,0,0,1,1,0,4,2,1,0.038998
5,0,0,0,0,0,1,3,1,1,0.035
5,0,0,0,0,0,1,3,1,1,0.032972
5,0,0,0,0,1,0,3,1,1,0.038002
5,0,0,0,0,1,0,3,1,1,0.039001
5,0,0,0,0,1,0,4,2,1,0.041999
5,0,0,0,0,1,0,3,1,1,0.033032
5,0,0,0,0,0,1,3,1,1,0.032977
5,0,0,0,0,1,0,3,1,1,0.031967
5,0,0,0,1,1,0,4,2,1,0.045985
5,0,0,0,0,1,0,3,1,1,0.032035
5,0,0,0,1,1,0,4,2,1,0.045004
5,0,0,0,0,0,1,3,1,1,0.030003
5,0,0,0,1,1,0,4,2,1,0.037999
5,0,0,0,0,1,0,3,1,1,0.032024
5,0,0,0,0,1,0,3,1,1,0.037001
5,0,0,0,0,0,1,1,0,1,0.027002
5,0,0,0,0,0,1,3,1,1,0.034988
5,0,0,0,0,0,1,3,1,1,0.052009
5,0,0,0,0,1,0,3,1,1,0.041009
5,0,0,0,0,0,1,3,1,1,0.033012
5,0,0,0,0,0,1,3,1,1,0.040998
5,0,0,0,0,1,0,3,1,1,0.031977
5,0,0,0,0,0,1,1,0,1,0.026003
5,0,0,0,0,0,1,3,1,1,0.043999
5,0,0,0,0,0,1,1,0,1,0.025999
5,0,0,0,0,1,0,4,2,1,0.056028
5,0,0,0,0,0,1,3,1,1,0.044999
5,0,0,0,0,0,1,3,1,1,0.037997
5,0,0,0,0,0,1,1,0,1,0.024998
5,0,0,0,0,1,0,3,1,1,0.037999
5,0,0,0,0,0,1,1,0,1,0.030998
5,0,0,0,0,0,1,3,1,1,0.035995
5,0,0,0,0,0,1,3,1,1,0.050999
5,0,0,0,0,0,1,1,0,1,0.022
5,0,0,0,0,0,1,3,1,1,0.034978
5,0,0,0,0,1,0,4,2,1,0.044997
5,0,0,0,0,0,1,1,0,1,0.032001
5,0,0,0,0,1,0,3,1,1,0.055001
5,0,0,0,0,1,0,3,1,1,0.038001
5,0,0,0,0,0,1,3,1,1,0.037
5,0,0,0,1,1,0,4,2,1,0.046001
5,0,0,0,0,1,0,3,1,1,0.055002
5,0,0,0,0,0,1,3,1,1,0.045997
5,0,0,0,0,0,1,3,1,1,0.032999
5,0,0,0,0,1,0,3,1,1,0.033987
5,0,0,0,0,0,1,3,1,1,0.032006
5,0,0,0,0,1,0,3,1,1,0.032003
5,0,0,0,0,0,1,3,1,1,0.03202
5,0,0,0,0,0,1,3,1,1,0.032001
5,0,0,0,0,0,1,3,1,1,0.030998
5,0,0,0,0,0,1,3,1,1,0.040001
5,0,0,0,0,0,1,3,1,1,0.051998
5,0,0,0,0,0,1,3,1,1,0.043
5,0,0,0,1,1,0,4,2,1,0.042001
5,0,0,0,0,0,1,3,1,1,0.038999
5,0,0,0,0,1,0,4,2,1,0.049003
5,0,0,0,0,0,1,1,0,1,0.037001
5,0,0,0,0,0,1,3,1,1,0.037996
5,0,0,0,0,0,1,3,1,1,0.044999
5,0,0,0,0,1,0,3,1,1,0.041002
5,0,0,0,0,0,1,3,1,1,0.053994
5,0,0,0,0,1,0,3,1,1,0.037999
5,0,0,0,0,0,1,3,1,1,0.039024
5,0,0,0,0,0,1,1,0,1,0.027001
5,0,0,0,0,1,0,3,1,1,0.033001
5,0,0,0,0,1,0,3,1,1,0.032
5,0,0,0,0,1,0,3,1,1,0.036
5,0,0,0,0,0,1,1,0,1,0.023997
5,0,0,0,0,1,0,3,1,1,0.040997
5,0,0,0,0,0,1,1,0,1,0.030001
5,0,0,0,0,0,1,1,0,1,0.028006
5,0,0,0,0,1,0,4,2,1,0.069001
5,0,0,0,0,1,0,3,1,1,0.038
5,0,0,0,0,1,0,3,1,1,0.040002
5,0,0,0,0,1,0,3,1,1,0.034011
5,0,0,0,0,0,1,1,0,1,0.023023
5,0,0,0,0,1,0,3,1,1,0.033975
5,0,0,0,0,1,0,3,1,1,0.030023
5,0,0,0,0,0,1,3,1,1,0.037997
5,0,0,0,0,1,0,3,1,1,0.031971
5,0,0,0,0,1,0,3,1,1,0.031997
5,0,0,0,0,1,0,3,1,1,0.033977
5,0,0,0,0,1,0,3,1,1,0.04
5,0,0,0,0,0,1,1,0,1,0.031998
5,0,0,0,1,1,0,4,2,1,0.060998
5,0,0,0,0,0,1,3,1,1,0.044999
5,0,0,0,0,1,0,3,1,1,0.047996
5,0,0,0,0,1,0,3,1,1,0.055
5,0,0,0,0,0,1,3,1,1,0.039
5,0,0,0,0,0,1,1,0,1,0.029002
5,0,0,0,1,1,0,4,2,1,0.064998
5,0,0,0,0,0,1,1,0,1,0.034001
5,0,0,0,0,1,0,3,1,1,0.035997
5,0,0,0,0,1,0,3,1,1,0.090998
5,0,0,0,0,0,1,3,1,1,0.059999
5,0,0,0,0,1,0,3,1,1,0.033999
5,0,0,0,0,1,0,3,1,1,0.036
5,0,0,0,0,1,0,3,1,1,0.034995
5,0,0,0,0,1,0,3,1,1,0.041999
5,0,0,0,0,0,1,1,0,1,0.028
5,0,0,0,0,0,1,3,1,1,0.046001
5,0,0,0,0,0,1,1,0,1,0.032998
5,0,0,0,0,1,0,3,1,1,0.037999
5,0,0,0,0,1,0,3,1,1,0.032
5,0,0,0,1,1,0,4,2,1,0.045012
5,0,0,0,0,1,0,3,1,1,0.04
5,0,0,0,0,1,0,3,1,1,0.045999
5,0,0,0,0,0,1,3,1,1,0.037999
5,0,0,0,0,1,0,3,1,1,0.04999
5,0,0,0,0,1,0,3,1,1,0.034998
5,0,0,0,0,1,0,3,1,1,0.054995
5,0,0,0,0,0,1,3,1,1,0.032997
5,0,0,0,0,0,1,3,1,1,0.045999
5,0,0,0,0,0,1,1,0,1,0.027001
5,0,0,0,0,0,1,3,1,1,0.038999
5,0,0,0,0,1,0,3,1,1,0.031002
5,0,0,0,0,0,1,1,0,1,0.028001
5,0,0,0,0,0,1,3,1,1,0.03497
5,0,0,0,0,1,0,3,1,1,0.04999
5,0,0,0,0,0,1,1,0,1,0.029996
5,0,0,0,0,0,1,1,0,1,0.029997
5,0,0,0,0,0,1,3,1,1,0.04
5,0,0,0,0,0,1,1,0,1,0.026999
5,0,0,0,0,0,1,3,1,1,0.035997
5,0,0,0,0,0,1,3,1,1,0.034032
5,0,0,0,0,0,1,3,1,1,0.040999
5,0,0,0,0,1,0,3,1,1,0.041998
5,0,0,0,0,1,0,3,1,1,0.035006
5,0,0,0,0,0,1,1,0,1,0.027002
5,0,0,0,0,1,0,3,1,1,0.046
5,0,0,0,0,0,1,3,1,1,0.045001
5,0,0,0,0,0,1,1,0,1,0.03
5,0,0,0,0,0,1,3,1,1,0.037998
5,0,0,0,0,0,1,3,1,1,0.032996
5,0,0,0,0,1,0,3,1,1,0.036
5,0,0,0,0,1,0,3,1,1,0.034029
5,0,0,0,0,1,0,3,1,1,0.036015
5,0,0,0,0,1,0,3,1,1,0.038
5,0,0,0,0,1,0,3,1,1,0.036
5,0,0,0,0,1,0,3,1,1,0.043998
5,0,0,0,0,0,1,3,1,1,0.034002
5,0,0,0,1,1,0,4,2,1,0.039999
5,0,0,0,0,1,0,3,1,1,0.037971
5,0,0,0,0,0,1,3,1,1,0.036995
5,0,0,0,1,1,0,4,2,1,0.03997
5,0,0,0,0,0,1,1,0,1,0.021998
5,0,0,0,1,1,0,4,2,1,0.048
5,0,0,0,0,0,1,3,1,1,0.035033
5,0,0,0,0,1,0,3,1,1,0.035972
5,0,0,0,0,0,1,3,1,1,0.033953
5,0,0,0,0,1,0,3,1,1,0.037961
5,0,0,0,0,1,0,3,1,1,0.034028
5,0,0,0,0,0,1,3,1,1,0.052998
5,0,0,0,0,0,1,1,0,1,0.031001
5,0,0,0,0,0,1,3,1,1,0.039998
5,0,0,0,0,0,1,1,0,1,0.023016
5,0,0,0,0,1,0,3,1,1,0.041012
5,0,0,0,0,0,1,1,0,1,0.034002
5,0,0,0,0,0,1,1,0,1,0.029994
5,0,0,0,0,0,1,1,0,1,0.031003
5,0,0,0,0,1,0,3,1,1,0.035998
5,0,0,0,1,1,0,4,2,1,0.041008
5,0,0,0,0,0,1,1,0,1,0.026999
5,0,0,0,0,1,0,3,1,1,0.041
5,0,0,0,0,0,1,3,1,1,0.037002
5,0,0,0,0,1,0,4,2,1,0.054001
5,0,0,0,0,1,0,3,1,1,0.044998
5,0,0,0,0,0,1,3,1,1,0.038997
5,0,0,0,0,0,1,3,1,1,0.034001
5,0,0,0,0,0,1,3,1,1,0.032
5,0,0,0,0,1,0,4,2,1,0.047
5,0,0,0,0,0,1,3,1,1,0.038996
5,0,0,0,0,0,1,3,1,1,0.036026
5,0,0,0,0,1,0,3,1,1,0.037003
5,0,0,0,0,0,1,3,1,1,0.05
5,0,0,0,0,0,1,3,1,1,0.03003
5,0,0,0,0,1,0,3,1,1,0.033999
5,0,0,0,0,0,1,3,1,1,0.043001
5,0,0,0,0,1,0,3,1,1,0.040999
5,0,0,0,0,0,1,1,0,1,0.040997
5,0,0,0,0,0,1,3,1,1,0.034003
5,0,0,0,0,0,1,1,0,1,0.026001
5,0,0,0,0,1,0,3,1,1,0.035967
5,0,0,0,0,0,1,1,0,1,0.031999
5,0,0,0,0,0,1,3,1,1,0.043
5,0,0,0,0,0,1,1,0,1,0.025035
5,0,0,0,0,0,1,1,0,1,0.028
5,0,0,0,0,1,0,4,2,1,0.044
5,0,0,0,0,0,1,3,1,1,0.036001
5,0,0,0,1,1,0,4,2,1,0.038967
5,0,0,0,0,0,1,3,1,1,0.034999
5,0,0,0,0,1,0,3,1,1,0.033998
5,0,0,0,0,1,0,3,1,1,0.055005
5,0,0,0,0,0,1,1,0,1,0.024997
5,0,0,0,0,1,0,3,1,1,0.068012
5,0,0,0,0,0,1,1,0,1,0.024001
5,0,0,0,1,1,0,4,2,1,0.040032
5,0,0,0,0,0,1,1,0,1,0.023998
5,0,0,0,0,1,0,3,1,1,0.046997
5,0,0,0,0,0,1,3,1,1,0.034002
5,0,0,0,0,1,0,3,1,1,0.042972
5,0,0,0,0,1,0,4,2,1,0.058999
5,0,0,0,0,0,1,1,0,1,0.029999
5,0,0,0,1,1,0,4,2,1,0.047005
5,0,0,0,0,0,1,3,1,1,0.035001
5,0,0,0,0,1,0,3,1,1,0.039002
5,0,0,0,0,0,1,3,1,1,0.037033
