NumberOfPlayers,DeadAgentVoted,DeadAgentAttacked,TeammateAttacked,IncorrectAction,WerewolfWins,VillagerWins,TotalTurns,TotalDays,TotalGames,GameTimeSeconds
35,107,30,1,352,1,0,64,32,1,1.569993
35,84,31,2,266,1,0,79,39,1,1.411998
35,78,10,2,302,0,1,43,21,1,1.416999
35,70,20,3,266,0,1,35,17,1,1.363994
35,113,41,1,318,0,1,81,40,1,2.395996
35,105,23,5,285,1,0,59,29,1,1.747998
35,68,23,1,262,1,0,41,20,1,1.667998
35,42,20,3,229,0,1,28,14,1,1.296996
35,77,20,1,305,0,1,53,26,1,1.759084
35,73,49,3,285,0,1,65,32,1,2.104511
35,31,18,0,230,0,1,25,12,1,1.317999
35,19,1,3,179,0,1,16,8,1,1.017556
35,103,34,1,314,1,0,73,36,1,2.064997
35,78,18,1,308,1,0,59,29,1,1.876527
35,89,26,4,338,0,1,68,34,1,1.979995
35,87,16,2,295,1,0,57,28,1,1.809997
35,77,17,4,308,0,1,47,23,1,1.615998
35,91,15,2,316,1,0,65,32,1,1.898999
35,65,7,1,256,0,1,35,17,1,1.308996
35,89,23,2,366,0,1,53,26,1,1.884
35,79,21,4,295,1,0,59,29,1,1.755525
35,128,33,5,298,1,0,106,53,1,2.402995
35,65,13,1,244,1,0,37,18,1,1.284999
35,54,16,2,234,0,1,35,17,1,1.537991
35,59,6,2,292,0,1,45,22,1,1.541997
35,74,10,4,311,0,1,51,25,1,1.761991
35,80,30,1,310,0,1,55,27,1,1.983001
35,61,7,5,251,0,1,33,16,1,1.341997
35,89,19,5,279,0,1,46,23,1,1.612994
35,82,17,2,288,1,0,47,23,1,1.759996
35,68,7,5,268,0,1,39,19,1,1.424999
35,27,4,1,205,0,1,19,9,1,1.139
35,108,38,2,305,0,1,77,38,1,2.028996
35,57,18,0,287,0,1,37,18,1,1.459
35,55,14,3,243,0,1,37,18,1,1.452995
35,121,34,3,378,0,1,92,46,1,2.268994
35,84,27,4,269,0,1,51,25,1,1.861991
35,72,7,3,276,0,1,35,17,1,1.411001
35,86,41,3,277,0,1,64,32,1,1.862999
35,59,12,4,247,1,0,35,17,1,1.399997
35,66,19,1,263,1,0,60,30,1,1.956994
35,55,16,2,220,1,0,33,16,1,1.267998
35,79,28,3,277,0,1,55,27,1,1.89801
35,18,8,6,206,0,1,20,10,1,1.082013
35,69,34,3,272,0,1,45,22,1,1.586995
35,88,23,5,281,1,0,63,31,1,1.711996
35,79,24,3,323,1,0,52,26,1,1.620997
35,58,7,5,257,0,1,31,15,1,1.27399
35,51,5,4,242,0,1,31,15,1,1.431004
35,59,13,4,268,0,1,30,15,1,1.639998
35,83,29,3,348,0,1,54,27,1,2.034999
35,104,33,1,298,1,0,79,39,1,1.907997
35,95,32,3,346,0,1,70,35,1,2.107076
35,79,22,3,285,0,1,43,21,1,1.740996
35,49,7,2,221,0,1,27,13,1,1.184
35,51,5,6,247,0,1,32,16,1,1.333996
35,73,7,3,311,0,1,41,20,1,1.525996
35,84,25,4,262,0,1,65,32,1,1.950998
35,93,23,1,391,0,1,53,26,1,1.843997
35,57,25,1,295,0,1,41,20,1,1.710608
35,63,28,3,241,0,1,31,15,1,1.727103
35,69,15,0,299,1,0,47,23,1,1.722
35,79,14,1,303,1,0,51,25,1,1.510515
35,99,31,1,296,0,1,63,31,1,1.794997
35,43,23,2,233,0,1,25,12,1,1.62652
35,52,17,5,230,0,1,31,15,1,1.510996
35,132,37,4,362,0,1,121,60,1,3.155993
35,77,29,3,312,0,1,47,23,1,1.875518
35,63,14,1,268,0,1,37,18,1,1.418994
35,127,55,4,341,1,0,106,53,1,2.904993
35,106,42,2,309,0,1,73,36,1,2.398998
35,109,20,2,404,0,1,77,38,1,2.396008
35,79,32,1,286,1,0,57,28,1,2.033993
35,79,21,2,276,1,0,51,25,1,1.726998
35,53,13,2,278,0,1,37,18,1,1.379
35,68,13,3,305,0,1,45,22,1,1.673996
35,108,24,3,341,0,1,81,40,1,1.895
35,78,17,4,308,0,1,48,24,1,1.590991
35,85,14,3,317,0,1,43,21,1,1.679998
35,87,20,1,310,0,1,49,24,1,1.742995
35,79,25,5,274,1,0,51,25,1,1.976998
35,60,13,0,258,1,0,37,18,1,1.487
35,71,17,1,301,1,0,43,21,1,1.589994
